model-obs-name,test,season,p,ss,slope,lcl,ucl
interm_output//HOTSS_v1.01,mann-kendall 3pw,season 1,0.4952867602977147,0,0.002930603721696282,-0.004146091955314511,0.010908868398662496
interm_output//HOTSS_v1.01,mann-kendall 3pw,season 2,0.36145300334070685,0,0.004324266993445253,-0.005181663190674108,0.014003291095807899
interm_output//HOTSS_v1.01,mann-kendall 3pw,season 3,0.7130236652556572,0,0.00178904959760596,-0.007097156991293851,0.012251133904332558
interm_output//HOTSS_v1.01,mann-kendall 3pw,season 4,0.38087509602077274,0,0.003438091546963808,-0.003125860769769799,0.009962063330801706
interm_output//HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-0,0.6999147656727214,0,0.0037820212884003886,-0.013574249856154246,0.01950544303596782
interm_output//HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-1,0.33965861770668027,-1,0.006065822162149456,-0.005777250555817902,0.018890368035902567
interm_output//HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-2,0.9398714539943918,-1,-0.0017207998951809871,-0.011571188634265003,0.008484669482729775
interm_output//HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-3,0.8444667630816367,0,0.0006771749816554462,-0.01569090754281175,0.01269850855223047
interm_output//HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-4,0.4681050442586221,-1,nan,nan,nan
interm_output//HOTSS_v1.01,"mann kendall 3pw all seasons, nonseasonal mk",season-0,0.5037295788963585,-1,0.001832930586956261,-0.00449889201205531,0.00785252706926951
interm_output//HOTSS_v1.01,"mann kendall 3pw all seasons, nonseasonal mk",season-1,0.5037295788963585,-1,0.001832930586956261,-0.00449889201205531,0.00785252706926951
