model-obs-name,test,season,p,ss,slope,lcl,ucl
interm_output//NanooseObs_1970-2018,mann-kendall 3pw,season 1,0.334168550332576,-1,0.0046273184173347935,-0.005599702557861617,0.015498428800103386
interm_output//NanooseObs_1970-2018,mann-kendall 3pw,season 2,0.0956348220420149,-1,0.012141590342426206,0.0006013585759742583,0.021907756601431246
interm_output//NanooseObs_1970-2018,mann-kendall 3pw,season 3,0.08485170763441108,-1,0.010093879712342449,0.00044822264252545127,0.02136799690593571
interm_output//NanooseObs_1970-2018,mann-kendall 3pw,season 4,0.029430247659865127,95,0.009303111111639749,0.0019942212101528704,0.017321993552207534
interm_output//NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-0,0.5571866397079543,-1,0.0021202612384787793,-0.012251058914763902,0.018941325704998097
interm_output//NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-1,0.07694060769484379,-1,0.01255465080095872,-0.003710462814174182,0.02802015026012491
interm_output//NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-2,0.23716230784745362,-1,0.0051649958701769335,-0.0066772671629901385,0.013097523811020464
interm_output//NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-3,0.6631893955116048,-1,-0.006843003989300387,-0.019726495336409973,0.0067436235904474165
interm_output//NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-4,0.11852765722662051,-1,nan,nan,nan
interm_output//NanooseObs_1970-2018,"mann kendall 3pw all seasons, nonseasonal mk",season-0,0.11367380123851656,-1,0.0023321674795324927,-0.003997545395779473,0.008960897429138259
interm_output//NanooseObs_1970-2018,"mann kendall 3pw all seasons, nonseasonal mk",season-1,0.11367380123851656,-1,0.0023321674795324927,-0.003997545395779473,0.008960897429138259
