,sdom,n_obs,T_mean_mod,T_mean_obs,T_bias,T_std_mod,T_std_obs,T_rmse,T_crmse,T_nrmse,T_ncrmse,T_pears,T_wss,S_mean_mod,S_mean_obs,S_bias,S_std_mod,S_std_obs,S_rmse,S_crmse,S_nrmse,S_ncrmse,S_pears,S_wss
DI_Full,DI,3649.0,10.06,9.86,0.2,1.42,1.29,0.68,0.65,0.53,0.5,0.89,0.93,29.11,29.3,-0.19,1.5,0.93,1.06,1.05,1.15,1.13,0.72,0.79
DI_0->30,DI,3640.0,10.48,10.44,0.03,1.95,1.79,0.84,0.84,0.47,0.47,0.9,0.95,27.75,28.32,-0.56,1.04,0.94,1.18,1.03,1.25,1.1,0.46,0.64
DI_30->150,DI,3083.0,9.72,9.48,0.25,0.9,0.75,0.51,0.45,0.68,0.59,0.87,0.9,29.91,29.71,0.2,1.04,0.47,0.84,0.81,1.77,1.72,0.65,0.67
DI_>150,DI,1118.0,9.74,9.29,0.45,0.5,0.47,0.55,0.32,1.16,0.67,0.79,0.75,30.82,30.61,0.22,0.53,0.23,0.43,0.37,1.85,1.59,0.81,0.7
SGN_Full,SGN,12365.0,9.73,9.49,0.24,1.03,1.09,0.47,0.4,0.43,0.37,0.93,0.95,30.25,29.96,0.29,0.98,0.96,0.49,0.39,0.51,0.41,0.92,0.94
SGN_0->30,SGN,12349.0,10.36,10.52,-0.17,2.01,2.01,0.63,0.61,0.31,0.3,0.95,0.98,28.3,28.27,0.03,0.82,0.95,0.69,0.69,0.72,0.72,0.71,0.83
SGN_30->150,SGN,11409.0,9.26,9.1,0.16,0.56,0.64,0.33,0.29,0.52,0.46,0.89,0.92,30.5,30.09,0.41,0.28,0.4,0.48,0.25,1.22,0.64,0.77,0.66
SGN_>150,SGN,8348.0,9.64,9.12,0.52,0.4,0.43,0.59,0.27,1.35,0.62,0.8,0.66,31.2,30.94,0.26,0.17,0.19,0.3,0.16,1.57,0.83,0.63,0.57
SGS_Full,SGS,4140.0,9.79,9.59,0.21,1.66,1.41,0.56,0.52,0.4,0.37,0.95,0.97,28.57,28.57,0.0,5.81,4.58,2.73,2.73,0.59,0.59,0.89,0.93
SGS_0->30,SGS,4138.0,10.36,10.3,0.06,2.12,1.93,0.69,0.69,0.36,0.36,0.95,0.97,27.29,27.23,0.05,5.5,4.33,2.8,2.8,0.65,0.65,0.86,0.91
SGS_30->150,SGS,3437.0,9.47,9.26,0.22,0.96,0.86,0.4,0.34,0.47,0.4,0.94,0.95,30.56,30.1,0.46,0.35,0.39,0.5,0.2,1.28,0.51,0.86,0.69
SGS_>150,SGS,1136.0,9.61,9.13,0.48,0.57,0.57,0.57,0.3,0.99,0.54,0.86,0.79,31.21,30.89,0.32,0.26,0.28,0.35,0.15,1.26,0.52,0.85,0.71
GI_Full,GI,2512.0,10.61,10.26,0.34,2.11,1.72,0.87,0.8,0.51,0.47,0.93,0.95,29.02,29.6,-0.58,1.28,1.33,1.21,1.06,0.91,0.8,0.67,0.77
GI_0->30,GI,2512.0,11.09,10.73,0.36,2.29,1.9,0.89,0.82,0.47,0.43,0.94,0.95,28.44,29.09,-0.65,1.15,1.2,1.27,1.1,1.06,0.92,0.56,0.67
GI_30->150,GI,1832.0,10.01,9.6,0.41,1.52,1.04,0.8,0.69,0.77,0.67,0.92,0.9,29.79,30.25,-0.46,0.98,0.7,0.78,0.63,1.12,0.9,0.76,0.79
GI_>150,GI,175.0,9.26,8.65,0.61,0.79,0.68,0.84,0.58,1.23,0.85,0.7,0.73,31.54,31.68,-0.14,1.07,0.84,0.49,0.47,0.58,0.56,0.91,0.93
HS_Full,HS,800.0,10.45,9.8,0.65,1.85,1.46,0.88,0.59,0.6,0.41,0.96,0.93,30.49,30.69,-0.2,1.56,1.05,0.69,0.66,0.66,0.63,0.94,0.93
HS_0->30,HS,800.0,10.96,10.24,0.71,1.87,1.43,0.95,0.62,0.66,0.44,0.96,0.92,29.6,30.07,-0.47,1.24,0.84,0.81,0.66,0.97,0.79,0.87,0.85
HS_30->150,HS,610.0,9.63,9.18,0.45,0.87,0.73,0.66,0.48,0.9,0.65,0.84,0.84,31.32,31.17,0.15,0.53,0.47,0.41,0.38,0.88,0.82,0.71,0.82
HS_>150,HS,442.0,9.22,8.63,0.59,0.68,0.61,0.79,0.53,1.31,0.87,0.67,0.68,31.99,31.89,0.1,0.57,0.6,0.35,0.34,0.59,0.56,0.83,0.9
JFS_Full,JFS,3707.0,9.29,8.63,0.66,0.92,0.85,0.92,0.64,1.09,0.76,0.74,0.75,32.18,32.2,-0.02,0.89,0.82,0.51,0.51,0.62,0.62,0.82,0.9
JFS_0->30,JFS,3707.0,10.38,9.59,0.79,1.42,0.98,1.18,0.87,1.2,0.89,0.79,0.77,30.73,31.25,-0.52,0.74,0.68,0.93,0.76,1.37,1.13,0.42,0.59
